product_master_id,subproduct_id,operation_id,operation_name,sub_operation
1,1,41,Raw Material,Bandsaw Cutting
1,1,1,Blanking,Facing+Centring+OD Turning-1st & 2nd Side
1,1,19,Drill+Tap,Driling+Tapping-1st & 2nd Side
1,1,,Heat Treatment,Roll Hardening
1,1,30,Hard Turning-1,Rough Centring+OD Turning-1st & 2nd Side
1,1,44,Stress Relieve,Stress Relieve
1,1,31,Hard Turning-2,Facing+Centring+journal Turning-1st & 2nd Side
1,1,21,Grinding,Berral+Journal-2nd Side
1,1,20,Fitter work,Final re-tapping work (Manual)
1,1,,QAD,Final Inspection
1,2,41,Raw Material,Bandsaw Cutting
1,2,1,Blanking,Facing+Centring+OD Turning+Groove-1st Side <br> Facing+Centring+OD Turning 2nd Side
1,2,19,Drill+Tap,Driling+Tapping-1st & 2nd Side
1,2,,Heat Treatment,Roll Hardening
1,2,30,Hard Turning-1,Rough Centring+OD Turning-1st & 2nd Side
1,2,44,Stress Relieve,Stress Relieve
1,2,31,Hard Turning-2,Facing+Centring+journal Turning-1st Side  <br> Facing+Centring+journal Turning+Groove-2nd Side
1,2,21,Grinding,Berral Grinding
1,2,20,Fitter work,Final re-tapping work (Manual)
1,2,,QAD,Final Inspection
,,,,
1,3,41,Raw Material,Bandsaw cutting
1,3,1,Blanking,Facing+Centering+OD Turning+Groove-1st & 2nd Side
1,3,19,Drill+Tap,Driling+Tapping-1st & 2nd Side
1,3,,Heat Treatment,Roll Hardening
1,3,30,Hard Turning-1,Rough Centering+OD Turning-1st & 2nd Side.
1,3,44,Stress Relieve,Stress Relieve
1,3,31,Hard Turning-2,Facing+Centering+ Journals Turning+grove-1st & 2nd side.
1,3,21,Grinding,Berral+Journal
1,3,20,Fitter work,Final re-tapping work (Manual)
1,3,,QAD,Final Inspection
,,,,
2,4,41,Raw Material,Bandsaw cutting
2,4,1,Blanking,Facing+Centering+OD Turning-1st & 2nd Side
2,4,19,Drill+Tap,Driling+Tapping-1st & 2nd Side
2,4,,Heat Treatment,Roll Hardening
2,4,29,Hard Turning,Facing+Centring+ OD+journal Turning-1st & 2nd side.
2,4,21,Grinding,Berral+Journal-1st side <br> Journal - 2nd Side
2,4,20,Fitter work,Final re-tapping work (Manual)
2,4,,QAD,Final Inspection
2,5,41,Raw Material,Bandsaw cutting
2,5,1,Blanking,Facing+Centering+OD Turning-1st Side <br> Facing+Centering+OD Turning+Grove-2nd Side
2,5,19,Drill+Tap,Driling+Tapping-1st & 2nd Side
2,5,,Heat Treatment,Roll Hardening
2,5,29,Hard Turning,Facing+Centering+ OD+journals Turning-1st side <br> Facing+Centering+OD+journals Turning +grove-2nd Side.
2,5,21,Grinding,Berral grinding + journal 1st side. <br> Journal+Facing- 2nd Side
2,5,20,Fitter work,Final re-tapping work (Manual)
