product_master_id,subproduct_id,operation_id,operation_name,sub_product,unit
,,,,,TMR
21,34,,Cutting,Cutting,TMR
21,34,,U Drilling,Core Drilling,TMR
21,34,,CNC Blanking - 1,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",TMR
21,34,,CNC Blanking - 2,Facing+Partial OD Turning,TMR
21,34,,CNC Blanking - 3,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",TMR
21,34,,CNC Blanking - 4,OD Turning,TMR
21,34,,Profile Digging,Profile Digging,TMR
21,34,,Profile Finishing,Profile Finishing,TMR
21,34,,Drilling,Drilling,TMR
21,34,,Taping,Taping,TMR
21,34,,Counter,Counter,TMR
21,34,,Thread Milling,Thread Milling,TMR
21,34,,Hard Milling,Hard Milling,TMR
21,34,,Keyway Slotting,Keyway Slotting,TMR
21,34,,Round Keyway Milling,Round Keyway Milling,TMR
21,34,,Keyway Chamfering,Keyway Chamfering,TMR
21,34,,PHT Inspection,PHT Inspection,TMR
21,34,,Heat Treatment,Heat Treatment,TMR
21,34,,Thickness Grinding Single Side Only,Thickness Grinding Single Side Only,TMR
21,34,,Thickness Grinding Both Side,Thickness Grinding Both Side,TMR
21,34,,Bore Turning With Under Cut - Single Side,Bore Turning With Under Cut - Single Side,TMR
21,34,,Bore Turning Both Side,Bore Turning Both Side,TMR
21,34,,Bore Grinding with Under Cut - Single Side,Bore Grinding with Under Cut - Single Side,TMR
21,34,,Bore Grinding Both Side,Bore Grinding Both Side,TMR
21,34,,Keyway Wirecut,Keyway Wirecut,TMR
21,34,,Bearing Seat - Single Side,Bearing Seat - Single Side,TMR
21,34,,Plain Bore Turning Both Side,Plain Bore Turning Both Side,TMR
21,34,,Plain Bore Turning with Under Cut - Single Side,Plain Bore Turning with Under Cut - Single Side,TMR
21,34,,Bore Turning with Keyway - Both Side,Bore Turning with Keyway - Both Side,TMR
21,34,,Bore Turning with Keyway & Under Cut - Single Side,Bore Turning with Keyway & Under Cut - Single Side,TMR
21,34,,Thickness Turning - Single Side,Thickness Turning - Single Side,TMR
21,34,,Hard Turning Profile,Hard Turning Profile - 1,TMR
21,34,,Hard Turning Profile Matching on CNC,Hard Turning Profile Matching on CNC,TMR
21,34,,Rib Thickness/Boss OD - Both Side,Rib Thickness/Boss OD - Both Side,TMR
21,34,,Template Matching,Template Matching,TMR
21,34,,"Final OD, Final Angle","Final OD, Final Angle",TMR
21,34,,Bevel Grinding,Bevel Grinding,TMR
22,35,,Cutting,Cutting,
22,35,,U Drilling,Core Drilling,
22,35,,CNC Blanking - 1,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
22,35,,CNC Blanking - 2,Facing+Partial OD Turning,
22,35,,CNC Blanking - 3,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
22,35,,CNC Blanking - 4,OD Turning,
22,35,,Profile Digging,Profile Digging,
22,35,,Profile Finishing,Profile Finishing,
22,35,,Drilling,Drilling,
22,35,,Taping,Taping,
22,35,,Counter,Counter,
22,35,,Thread Milling,Thread Milling,
22,35,,Hard Milling,Hard Milling,
22,35,,Keyway Slotting,Keyway Slotting,
22,35,,Round Keyway Milling,Round Keyway Milling,
22,35,,Keyway Chamfering,Keyway Chamfering,
22,35,,PHT Inspection,PHT Inspection,
22,35,,Heat Treatment,Heat Treatment,
22,35,,Thickness Grinding Single Side Only,Thickness Grinding Single Side Only,
22,35,,Thickness Grinding Both Side,Thickness Grinding Both Side,
22,35,,Bore Turning With Under Cut - Single Side,Bore Turning With Under Cut - Single Side,
22,35,,Bore Turning Both Side,Bore Turning Both Side,
22,35,,Bore Grinding with Under Cut - Single Side,Bore Grinding with Under Cut - Single Side,
22,35,,Bore Grinding Both Side,Bore Grinding Both Side,
22,35,,Keyway Wirecut,Keyway Wirecut,
22,35,,Bearing Seat - Single Side,Bearing Seat - Single Side,
22,35,,Plain Bore Turning Both Side,Plain Bore Turning Both Side,
22,35,,Plain Bore Turning with Under Cut - Single Side,Plain Bore Turning with Under Cut - Single Side,
22,35,,Bore Turning with Keyway - Both Side,Bore Turning with Keyway - Both Side,
22,35,,Bore Turning with Keyway & Under Cut - Single Side,Bore Turning with Keyway & Under Cut - Single Side,
22,35,,Thickness Turning - Single Side,Thickness Turning - Single Side,
22,35,,Hard Turning Profile,Hard Turning Profile - 1,
22,35,,Hard Turning Profile Matching on CNC,Hard Turning Profile Matching on CNC,
22,35,,Rib Thickness/Boss OD - Both Side,Rib Thickness/Boss OD - Both Side,
22,35,,Template Matching,Template Matching,
22,35,,"Final OD, Final Angle","Final OD, Final Angle",
22,35,,Bevel Grinding,Bevel Grinding,
23,36,,Cutting,Cutting,
23,36,,U Drilling,Core Drilling,
23,36,,CNC Blanking - 1,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
23,36,,CNC Blanking - 2,Facing+Partial OD Turning,
23,36,,CNC Blanking - 3,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
23,36,,CNC Blanking - 4,OD Turning,
23,36,,Profile Digging,Profile Digging,
