product_master_id,subproduct_id,operation_id,operation_name,sub_operations
30,43,,Cutting,Cutting
30,43,,Radial Parting,Radial Parting
30,43,,Axial Parting,Axial Parting
30,43,,Ring Parting,Ring Parting
30,43,,U Drilling,U Drilling
30,43,,CNC Blanking Disc Form - 1,CNC Blanking Disc Form - 1
30,43,,CNC Blanking Disc Form - 2,CNC Blanking Disc Form - 2
30,43,,CNC Blanking Ring Form - 1,CNC Blanking Ring Form - 1
30,43,,CNC Blanking Ring Form - 2,CNC Blanking Ring Form - 2
30,43,,Milling Work,Milling Work
30,43,,Keyway Slotting,Keyway Slotting
30,43,,Round Keyway Milling,Round Keyway Milling
30,43,,Keyway Chamfering,Keyway Chamfering
30,43,,PHT Inspection,PHT Inspection
30,43,,Heat Treatment,Heat Treatment
30,43,,Rough Surface Grinding ,Rough Surface Grinding 
30,43,,Semi Final Thickness Grinding CNC,Semi Final Thickness Grinding CNC
30,43,,Fine Grinding,Fine Grinding
30,43,,Bore Grinding,Bore Grinding
30,44,,Cutting,Cutting
30,44,,Radial Parting,Radial Parting
30,44,,Axial Parting,Axial Parting
30,44,,Ring Parting,Ring Parting
30,44,,U Drilling,U Drilling
30,44,,CNC Blanking Disc Form - 1,CNC Blanking Disc Form - 1
30,44,,CNC Blanking Disc Form - 2,CNC Blanking Disc Form - 2
30,44,,CNC Blanking Ring Form - 1,CNC Blanking Ring Form - 1
30,44,,CNC Blanking Ring Form - 2,CNC Blanking Ring Form - 2
30,44,,Milling Work,Milling Work
30,44,,Keyway Slotting,Keyway Slotting
30,44,,Round Keyway Milling,Round Keyway Milling
30,44,,Keyway Chamfering,Keyway Chamfering
30,44,,PHT Inspection,PHT Inspection
30,44,,Heat Treatment,Heat Treatment
30,44,,Rough Surface Grinding ,Rough Surface Grinding 
30,44,,Semi Final Thickness Grinding CNC,Semi Final Thickness Grinding CNC
30,44,,Fine Grinding,Fine Grinding
30,44,,Bore Grinding,Bore Grinding
30,44,,Dirt Groove Machining,Dirt Groove Machining
30,44,,Dirt Groove Cleaning,Dirt Groove Cleaning
30,44,,Final Thickness Grinding - CNC,Final Thickness Grinding - CNC
30,44,,Lapping - 1,Coarse Lapping - 220 Rough Lapping - 320
30,44,,Lapping - 2,Finish Lapping - 600 - Surface Roughtness 0.4
30,44,,Lapping - 3,Fine Lapping -800 - Surface Roughtness 0.2
30,44,,Lapping - 4,Superfinishing-1000 - Surface Roughtness 0.1
30,44,,Metal OD Grinding,Metal OD Grinding
31,45,,Cutting,Cutting
31,45,,Radial Parting,Radial Parting
31,45,,Axial Parting,Axial Parting
31,45,,Ring Parting,Ring Parting
31,45,,U Drilling,U Drilling
31,45,,CNC Blanking Disc Form - 1,CNC Blanking Disc Form - 1
31,45,,CNC Blanking Disc Form - 2,CNC Blanking Disc Form - 2
31,45,,CNC Blanking Ring Form - 1,CNC Blanking Ring Form - 1
31,45,,CNC Blanking Ring Form - 2,CNC Blanking Ring Form - 2
31,45,,CNC Blanking - Deep Undercut,CNC Blanking - Deep Undercut
31,45,,CNC Blanking - Shallow Undercut,CNC Blanking - Shallow Undercut
31,45,,Milling Work,Milling Work
