,,,0_35,36_50,51_75,76_100,101_125,126_150,0_50,0_100,51_100,101_150,151_200,201_250,251_300,,
1,47,0-25,5,10,15,20,25,40,,,,,,,,18-04-25 11:17,18-04-25 11:17
2,47,26-50,10,20,25,40,50,75,,,,,,,,18-04-25 11:17,18-04-25 11:17
3,47,51-75,10,25,35,60,75,115,,,,,,,,18-04-25 11:17,18-04-25 11:17
4,47,76-100,15,35,45,80,100,150,,,,,,,,18-04-25 11:17,18-04-25 11:17
5,47,101-125,20,40,55,100,125,185,,,,,,,,18-04-25 11:17,18-04-25 11:17
6,47,126-150,20,50,65,120,150,225,,,,,,,,18-04-25 11:17,18-04-25 11:17
7,47,151-175,25,55,75,140,175,260,,,,,,,,18-04-25 11:17,18-04-25 11:17
8,47,176-200,30,65,85,160,200,295,,,,,,,,18-04-25 11:17,18-04-25 11:17
9,47,201-225,30,75,95,180,225,335,,,,,,,,18-04-25 11:17,18-04-25 11:17
10,47,226-250,35,80,105,200,250,370,,,,,,,,18-04-25 11:17,18-04-25 11:17
11,47,251-275,35,90,115,220,270,405,,,,,,,,18-04-25 11:17,18-04-25 11:17
12,47,276-300,40,95,130,240,295,445,,,,,,,,18-04-25 11:17,18-04-25 11:17
13,64,0-40,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
14,64,41-45,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
15,64,46-50,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
16,64,51-55,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
17,64,56-60,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
18,64,61-65,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
19,64,66-70,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
20,64,71-75,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
21,64,76-80,,,,,,,15,,30,40,55,65,80,18-04-25 11:17,18-04-25 11:17
22,64,81-85,,,,,,,15,,30,45,55,70,85,18-04-25 11:17,18-04-25 11:17
23,64,86-90,,,,,,,15,,30,45,60,75,85,18-04-25 11:17,18-04-25 11:17
24,64,91-95,,,,,,,15,,30,45,60,75,90,18-04-25 11:17,18-04-25 11:17
25,64,96-100,,,,,,,20,,35,50,65,80,95,18-04-25 11:17,18-04-25 11:17
26,64,101-105,,,,,,,20,,35,50,70,85,100,18-04-25 11:17,18-04-25 11:17
27,64,106-110,,,,,,,20,,35,55,70,90,105,18-04-25 11:17,18-04-25 11:17
28,64,111-115,,,,,,,20,,40,55,75,95,110,18-04-25 11:17,18-04-25 11:17
29,64,116-120,,,,,,,20,,40,60,80,95,115,18-04-25 11:17,18-04-25 11:17
30,64,121-125,,,,,,,20,,40,60,80,100,120,18-04-25 11:17,18-04-25 11:17
31,64,126-130,,,,,,,25,,45,65,85,105,125,18-04-25 11:17,18-04-25 11:17
32,64,131-135,,,,,,,25,,45,65,85,110,130,18-04-25 11:17,18-04-25 11:17
33,64,136-140,,,,,,,25,,45,70,90,110,135,18-04-25 11:17,18-04-25 11:17
34,64,141-145,,,,,,,25,,50,70,95,115,140,18-04-25 11:17,18-04-25 11:17
35,64,146-150,,,,,,,25,,50,75,95,120,145,18-04-25 11:17,18-04-25 11:17
36,64,151-155,,,,,,,25,,50,75,100,125,150,18-04-25 11:17,18-04-25 11:17
37,64,156-160,,,,,,,30,,55,80,105,130,155,18-04-25 11:17,18-04-25 11:17
38,64,161-165,,,,,,,30,,55,80,105,130,160,18-04-25 11:17,18-04-25 11:17
39,64,166-170,,,,,,,30,,55,85,110,135,165,18-04-25 11:17,18-04-25 11:17
40,64,171-175,,,,,,,30,,55,85,110,140,165,18-04-25 11:17,18-04-25 11:17
41,64,176-180,,,,,,,30,,60,85,115,145,170,18-04-25 11:17,18-04-25 11:17
42,64,181-185,,,,,,,30,,60,90,120,150,175,18-04-25 11:17,18-04-25 11:17
43,64,186-190,,,,,,,30,,60,90,120,150,180,18-04-25 11:17,18-04-25 11:17
44,64,191-195,,,,,,,35,,65,95,125,155,185,18-04-25 11:17,18-04-25 11:17
45,64,196-200,,,,,,,35,,65,95,130,160,190,18-04-25 11:17,18-04-25 11:17
46,70,0-40,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
47,70,41-45,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
48,70,46-50,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
49,70,51-55,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
50,70,56-60,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
51,70,61-65,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
52,70,66-70,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
53,70,71-75,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
54,70,76-80,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
55,70,81-85,,,,,,,,10,,15,20,25,30,18-04-25 11:17,18-04-25 11:17
56,70,86-90,,,,,,,,10,,15,20,30,30,18-04-25 11:17,18-04-25 11:17
57,70,91-95,,,,,,,,10,,15,20,30,35,18-04-25 11:17,18-04-25 11:17
58,70,96-100,,,,,,,,10,,20,25,30,35,18-04-25 11:17,18-04-25 11:17
59,70,101-105,,,,,,,,10,,20,25,30,40,18-04-25 11:17,18-04-25 11:17
60,70,106-110,,,,,,,,10,,20,25,35,40,18-04-25 11:17,18-04-25 11:17
61,70,111-115,,,,,,,,15,,20,30,35,40,18-04-25 11:17,18-04-25 11:17
62,70,116-120,,,,,,,,15,,20,30,35,45,18-04-25 11:17,18-04-25 11:17
